Name,Year,duration_min,genres,director,lead_actor,vote_average
Die Hard 2,1990,124.0,"Action, Thriller",Renny Harlin,Bruce Willis,6.958
Ford v Ferrari,2019,153.0,"Drama, Action, History",James Mangold,Matt Damon,8.002
Bolero,1981,184.0,"Drama, Music",Claude Lelouch,Robert Hossein,7.0
Blue Velvet,1986,120.0,"Mystery, Thriller, Crime, Drama",David Lynch,Isabella Rossellini,7.6
The Spirit of the Beehive,1973,97.0,"Drama, Fantasy",Víctor Erice,Fernando Fernán Gómez,7.628
Tropical Malady,2004,114.0,"Drama, Romance, Fantasy",Apichatpong Weerasethakul,Banlop Lomnoi,6.761
La Ciénaga,2001,103.0,"Drama, Comedy",Lucrecia Martel,Mercedes Morán,6.9
The Secret Life of Walter Mitty,2013,114.0,"Adventure, Comedy, Drama, Fantasy",Ben Stiller,Ben Stiller,7.197
Paris Is Burning,1990,78.0,Documentary,Jennie Livingston,Pepper LaBeija,8.0
The Piano,1993,120.0,"Drama, Romance",Jane Campion,Holly Hunter,7.385
Touki Bouki,1973,91.0,"Drama, Romance",Djibril Diop Mambéty,Magaye Niang,6.704
Lisbela and the Prisoner,2003,106.0,"Comedy, Romance",Guel Arraes,Selton Mello,7.8
The Trespasser,2001,97.0,"Drama, Thriller, Crime",Beto Brant,Paulo Miklos,6.906
Children of Men,2006,109.0,"Drama, Action, Thriller, Science Fiction",Alfonso Cuarón,Clive Owen,7.611
The Edge,1997,117.0,"Action, Adventure, Drama",Lee Tamahori,Anthony Hopkins,6.8
Man with a Movie Camera,1929,68.0,Documentary,Dziga Vertov,Mikhail Kaufman,7.846
The Fugitive,1993,131.0,"Action, Thriller, Drama",Andrew Davis,Harrison Ford,7.466
"Faster, Pussycat! Kill! Kill!",1965,83.0,"Crime, Action, Thriller, Comedy",Russ Meyer,Tura Satana,6.344
Reds,1981,195.0,"Drama, History, Romance",Warren Beatty,Warren Beatty,6.886
Tea with Mussolini,1999,117.0,"Comedy, Drama, War",Franco Zeffirelli,Maggie Smith,6.4
Vincere,2009,128.0,"Drama, History",Marco Bellocchio,Giovanna Mezzogiorno,6.7
Triumph of the Will,1935,114.0,Documentary,Leni Riefenstahl,Adolf Hitler,6.92
A Wolf at the Door,2013,98.0,"Drama, Thriller, Crime",Fernando Coimbra,Leandra Leal,7.4
The Wicker Man,1973,93.0,Horror,Robin Hardy,Edward Woodward,7.343
The Cabin in the Woods,2011,95.0,"Horror, Mystery",Drew Goddard,Kristen Connolly,6.634
Predestination,2014,98.0,"Science Fiction, Thriller",Peter Spierig,Ethan Hawke,7.425
Sorry to Bother You,2018,112.0,"Fantasy, Science Fiction, Comedy",Boots Riley,LaKeith Stanfield,6.797
Frantic,1988,120.0,"Thriller, Mystery, Crime, Drama",Roman Polanski,Harrison Ford,6.722
Raid on Entebbe,1976,145.0,"Drama, Thriller, TV Movie, History",Irvin Kershner,Charles Bronson,6.0
A Dry White Season,1989,107.0,"Drama, Mystery",Euzhan Palcy,Donald Sutherland,6.7
Prizzi's Honor,1985,124.0,"Romance, Comedy, Crime",John Huston,Jack Nicholson,6.39
Twilight's Last Gleaming,1977,146.0,Thriller,Robert Aldrich,Burt Lancaster,6.377
The Killing Fields,1984,142.0,"Drama, History, War",Roland Joffé,Sam Waterston,7.464
Apollo 13,1995,140.0,"Drama, History",Ron Howard,Tom Hanks,7.449
The King's Speech,2010,118.0,"Drama, History",Tom Hooper,Colin Firth,7.734
Darkest Hour,2017,125.0,"Drama, History",Joe Wright,Gary Oldman,7.4
The Right Stuff,1983,193.0,"Drama, History, Adventure",Philip Kaufman,Sam Shepard,7.433
Milk,2008,128.0,"History, Drama",Gus Van Sant,Sean Penn,7.239
50 First Dates,2004,99.0,"Comedy, Romance",Peter Segal,Adam Sandler,6.866
Forgetting Sarah Marshall,2008,111.0,"Comedy, Romance, Drama",Nicholas Stoller,Jason Segel,6.5
The Many Adventures of Winnie the Pooh,1977,74.0,"Animation, Family, Adventure",John Lounsbery,Sterling Holloway,7.245
Punch-Drunk Love,2002,96.0,"Romance, Drama, Comedy",Paul Thomas Anderson,Adam Sandler,7.1
Collateral,2004,120.0,"Drama, Crime, Thriller",Michael Mann,Tom Cruise,7.23
Aquarius,2016,147.0,Drama,Kleber Mendonça Filho,Sônia Braga,7.5
Captain Corelli's Mandolin,2001,131.0,"Drama, Romance, War",John Madden,Nicolas Cage,6.0
Valkyrie,2008,121.0,"Drama, Thriller, War",Bryan Singer,Tom Cruise,6.948
Enemy at the Gates,2001,131.0,"Drama, War, History, Romance",Jean-Jacques Annaud,Jude Law,7.42
In This Corner of the World,2016,130.0,"Drama, Animation, Romance, War, History",Sunao Katabuchi,Non,7.9
Harold and Maude,1971,91.0,"Comedy, Drama, Romance",Hal Ashby,Ruth Gordon,7.614
Butterfly on a Wheel,2007,95.0,"Crime, Drama, Thriller",Mike Barker,Pierce Brosnan,6.403
Inherent Vice,2014,149.0,"Drama, Mystery, Comedy",Paul Thomas Anderson,Joaquin Phoenix,6.554
The Big Country,1958,166.0,"Drama, Western, Romance",William Wyler,Gregory Peck,7.601
American Made,2017,115.0,"Action, Comedy, Crime, Drama",Doug Liman,Tom Cruise,6.892
Back to Black,2024,122.0,"Music, History, Drama",Sam Taylor-Johnson,Marisa Abela,6.684
White Boy Rick,2018,111.0,"Crime, Drama",Yann Demange,Richie Merritt,6.353
Stand by Me,1986,89.0,"Crime, Drama",Rob Reiner,Wil Wheaton,7.855
Good Kids,2016,86.0,Comedy,Chris McCoy,Nicholas Braun,6.306
Anatomy of a Murder,1959,161.0,"Crime, Drama, Mystery",Otto Preminger,James Stewart,7.845
The Life and Death of Colonel Blimp,1943,163.0,"War, Drama, Romance, Comedy",Emeric Pressburger,Roger Livesey,7.464
Scream,1996,112.0,"Crime, Horror, Mystery",Wes Craven,David Arquette,7.415
Ocean's Thirteen,2007,122.0,"Crime, Thriller",Steven Soderbergh,George Clooney,6.721
The Battle of Chile: Part I,1975,97.0,"Documentary, History",Patricio Guzmán,Salvador Allende,7.2
